,passenger_id,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,deck,embark_town,alone
0,0,0,3,male,22.0,1,0,7.25,S,Third,,Southampton,0
1,1,1,1,female,38.0,1,0,71.2833,C,First,C,Cherbourg,0
2,2,1,3,female,26.0,0,0,7.925,S,Third,,Southampton,1
3,3,1,1,female,35.0,1,0,53.1,S,First,C,Southampton,0
4,4,0,3,male,35.0,0,0,8.05,S,Third,,Southampton,1
5,5,0,3,male,,0,0,8.4583,Q,Third,,Queenstown,1
6,6,0,1,male,54.0,0,0,51.8625,S,First,E,Southampton,1
7,7,0,3,male,2.0,3,1,21.075,S,Third,,Southampton,0
8,8,1,3,female,27.0,0,2,11.1333,S,Third,,Southampton,0
9,9,1,2,female,14.0,1,0,30.0708,C,Second,,Cherbourg,0
10,10,1,3,female,4.0,1,1,16.7,S,Third,G,Southampton,0
11,11,1,1,female,58.0,0,0,26.55,S,First,C,Southampton,1
12,12,0,3,male,20.0,0,0,8.05,S,Third,,Southampton,1
13,13,0,3,male,39.0,1,5,31.275,S,Third,,Southampton,0
14,14,0,3,female,14.0,0,0,7.8542,S,Third,,Southampton,1
15,15,1,2,female,55.0,0,0,16.0,S,Second,,Southampton,1
16,16,0,3,male,2.0,4,1,29.125,Q,Third,,Queenstown,0
17,17,1,2,male,,0,0,13.0,S,Second,,Southampton,1
18,18,0,3,female,31.0,1,0,18.0,S,Third,,Southampton,0
19,19,1,3,female,,0,0,7.225,C,Third,,Cherbourg,1
20,20,0,2,male,35.0,0,0,26.0,S,Second,,Southampton,1
21,21,1,2,male,34.0,0,0,13.0,S,Second,D,Southampton,1
22,22,1,3,female,15.0,0,0,8.0292,Q,Third,,Queenstown,1
23,23,1,1,male,28.0,0,0,35.5,S,First,A,Southampton,1
24,24,0,3,female,8.0,3,1,21.075,S,Third,,Southampton,0
25,25,1,3,female,38.0,1,5,31.3875,S,Third,,Southampton,0
26,26,0,3,male,,0,0,7.225,C,Third,,Cherbourg,1
27,27,0,1,male,19.0,3,2,263.0,S,First,C,Southampton,0
28,28,1,3,female,,0,0,7.8792,Q,Third,,Queenstown,1
29,29,0,3,male,,0,0,7.8958,S,Third,,Southampton,1
30,30,0,1,male,40.0,0,0,27.7208,C,First,,Cherbourg,1
31,31,1,1,female,,1,0,146.5208,C,First,B,Cherbourg,0
32,32,1,3,female,,0,0,7.75,Q,Third,,Queenstown,1
33,33,0,2,male,66.0,0,0,10.5,S,Second,,Southampton,1
34,34,0,1,male,28.0,1,0,82.1708,C,First,,Cherbourg,0
35,35,0,1,male,42.0,1,0,52.0,S,First,,Southampton,0
36,36,1,3,male,,0,0,7.2292,C,Third,,Cherbourg,1
37,37,0,3,male,21.0,0,0,8.05,S,Third,,Southampton,1
38,38,0,3,female,18.0,2,0,18.0,S,Third,,Southampton,0
39,39,1,3,female,14.0,1,0,11.2417,C,Third,,Cherbourg,0
40,40,0,3,female,40.0,1,0,9.475,S,Third,,Southampton,0
41,41,0,2,female,27.0,1,0,21.0,S,Second,,Southampton,0
42,42,0,3,male,,0,0,7.8958,C,Third,,Cherbourg,1
43,43,1,2,female,3.0,1,2,41.5792,C,Second,,Cherbourg,0
44,44,1,3,female,19.0,0,0,7.8792,Q,Third,,Queenstown,1
45,45,0,3,male,,0,0,8.05,S,Third,,Southampton,1
46,46,0,3,male,,1,0,15.5,Q,Third,,Queenstown,0
47,47,1,3,female,,0,0,7.75,Q,Third,,Queenstown,1
48,48,0,3,male,,2,0,21.6792,C,Third,,Cherbourg,0
49,49,0,3,female,18.0,1,0,17.8,S,Third,,Southampton,0
50,50,0,3,male,7.0,4,1,39.6875,S,Third,,Southampton,0
51,51,0,3,male,21.0,0,0,7.8,S,Third,,Southampton,1
52,52,1,1,female,49.0,1,0,76.7292,C,First,D,Cherbourg,0
53,53,1,2,female,29.0,1,0,26.0,S,Second,,Southampton,0
54,54,0,1,male,65.0,0,1,61.9792,C,First,B,Cherbourg,0
55,55,1,1,male,,0,0,35.5,S,First,C,Southampton,1
56,56,1,2,female,21.0,0,0,10.5,S,Second,,Southampton,1
57,57,0,3,male,28.5,0,0,7.2292,C,Third,,Cherbourg,1
58,58,1,2,female,5.0,1,2,27.75,S,Second,,Southampton,0
59,59,0,3,male,11.0,5,2,46.9,S,Third,,Southampton,0
60,60,0,3,male,22.0,0,0,7.2292,C,Third,,Cherbourg,1
61,61,1,1,female,38.0,0,0,80.0,,First,B,,1
62,62,0,1,male,45.0,1,0,83.475,S,First,C,Southampton,0
63,63,0,3,male,4.0,3,2,27.9,S,Third,,Southampton,0
64,64,0,1,male,,0,0,27.7208,C,First,,Cherbourg,1
65,65,1,3,male,,1,1,15.2458,C,Third,,Cherbourg,0
66,66,1,2,female,29.0,0,0,10.5,S,Second,F,Southampton,1
67,67,0,3,male,19.0,0,0,8.1583,S,Third,,Southampton,1
68,68,1,3,female,17.0,4,2,7.925,S,Third,,Southampton,0
69,69,0,3,male,26.0,2,0,8.6625,S,Third,,Southampton,0
70,70,0,2,male,32.0,0,0,10.5,S,Second,,Southampton,1
71,71,0,3,female,16.0,5,2,46.9,S,Third,,Southampton,0
72,72,0,2,male,21.0,0,0,73.5,S,Second,,Southampton,1
73,73,0,3,male,26.0,1,0,14.4542,C,Third,,Cherbourg,0
74,74,1,3,male,32.0,0,0,56.4958,S,Third,,Southampton,1
